,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price
235,Gerard Bertrand Cote Des Roses Chardonnay,France,Gerard Bertrand,"Chardonnay, White Wine","Balanced, Citrus, Fruity, Peach, Round, Smooth, Tropical Fruit",13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,4.1,6,1699.0
236,Villa Antinori Toscana Rosso,Italy,Antinori,"Red Blend, Red Wine","Berry, Bold, Dried Fruit, Fruity, Nutty, Red Fruit, Smooth, Spicy, Vanilla, Velvety",13.5%,"Beef, Pasta, Pork",Standard Red Glass,6,Dry Wine,Medium,4.5,23,1999.0
237,Santa Cristina Rosso Toscana,Italy,Antinori,"Red Blend, Red Wine","Cherry, Berry, Pepper, Eucalyptus",13%,"Beef, Lamb, Mushrooms, Pasta",Standard Red Glass,6,Dry Wine,Medium,5.0,10,1165.0
238,Santa Cristina Pinot Grigio,Italy,Antinori,"Pinot Grigio, White Wine","Balanced, Banana, Citrus",12%,"Salads  Greens, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,5,1199.0
239,Antinori Pèppoli Chianti Classico,Italy,Antinori,"Chianti Blend, Red Wine","Balanced, Cherry, Dark Fruit, Earthy, Fresh, Herbal, Pepper, Red Fruit, Smooth, Spicy",13%,"Beef, Cheese - Hard Aged, Cured Meats",Standard Red Glass,6,Dry Wine,Medium,5.0,2,2599.0
240,Joel Gott 815 Cabernet Sauvignon,United States,Joel Gott,"Cabernet Sauvignon, Red Wine",,13.9%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,80,1699.0
241,Joel Gott Sauvignon Blanc,United States,Joel Gott,"Sauvignon Blanc, White Wine","Bright, Tropical, Acidic",13.6%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,61,1303.0
242,Joel Gott Pinot Noir,United States,Joel Gott,"Pinot Noir, Red Wine",,13.9%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,13,1799.0
243,Joel Gott Unoaked Chardonnay,United States,Joel Gott,"Chardonnay, White Wine",,13.9%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,1599.0
244,Joel Gott Pinot Gris,United States,Joel Gott,"Pinot Grigio, White Wine",,13.2%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,5,1599.0
245,Joel Gott Chardonnay,United States,Joel Gott,"Chardonnay, White Wine",,13.9%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,1599.0
246,Robert Mondavi Cabernet Sauvignon Private Selection,United States,Robert Mondavi Private Selection,"Cabernet Sauvignon, Red Wine",,13%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.8,141,1099.0
247,Robert Mondavi Bourbon Barrel Aged Cabernet Sauvignon Private Selection,United States,Robert Mondavi Private Selection,"Cabernet Sauvignon, Red Wine","Caramel, Dark Fruit, Mocha, Smoky, Vanilla",14.5%,"Beef, Cured Meats, Cheese - Stinky",Bordeaux Glass,6,Dry Wine,Full,4.8,92,1499.0
248,Robert Mondavi Chardonnay Private Selection,United States,Robert Mondavi Private Selection,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,40,999.0
249,Robert Mondavi Merlot Private Selection,United States,Robert Mondavi Private Selection,"Merlot, Red Wine",,13%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,27,1049.0
250,Robert Mondavi Bourbon Barrel Aged Chardonnay Private Selection,United States,Robert Mondavi Private Selection,"Chardonnay, White Wine",,14.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,12,1399.0
251,Robert Mondavi Pinot Grigio Private Selection,United States,Robert Mondavi Private Selection,"Pinot Grigio, White Wine",,13%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,8,999.0
252,Robert Mondavi Buttery Chardonnay Private Selection,United States,Robert Mondavi Private Selection,"Chardonnay, White Wine","Acidic, Apple, Peach",13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,1199.0
253,Robert Mondavi Riesling Private Selection,United States,Robert Mondavi Private Selection,"Riesling, White Wine",,13%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,3,1048.0
254,Robert Mondavi Malbec Private Selection,United States,Robert Mondavi Private Selection,"Malbec, Red Wine",,13%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,3.3,3,1046.0
255,Robert Mondavi Rum Barrel Aged Merlot Private Selection,United States,Robert Mondavi Private Selection,"Merlot, Red Wine",,14.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,3.3,3,1469.0
256,Smoking Loon Cabernet Sauvignon,Chile,Smoking Loon,"Cabernet Sauvignon, Red Wine","Berry, Cassis, Toasty, Vanilla",13.5%,"Beef, Pork",Bordeaux Glass,6,Dry Wine,Full,5.0,7,899.0
257,Smoking Loon Merlot,United States,Smoking Loon,"Merlot, Red Wine",,13.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,5,899.0
258,Smoking Loon Chardonnay Unoaked Steelbird,Chile,Smoking Loon,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,999.0
259,Hogue Late Harvest Riesling,United States,Hogue Cellars,"Riesling, White Wine",,11%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,6,999.0
260,Hogue Riesling,United States,Hogue Cellars,"Riesling, White Wine",,12.5%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,2,989.0
261,Villa Maria Private Bin Sauvignon Blanc,New Zealand,Villa Maria,"Sauvignon Blanc, White Wine","Tropical Fruit, Citrus, Melon, Herbal",13%,"Shellfish, Chicken",Standard White Glass,3,Dry Wine,Light,4.5,33,1299.0
262,Almaden Chardonnay,United States,Almaden,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,15,1899.0
263,Almaden Cabernet Sauvignon,United States,Almaden,"Cabernet Sauvignon, Red Wine",,12.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,7,1899.0
264,Almaden Merlot,United States,Almaden,"Merlot, Red Wine",,12.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,6,1899.0
265,Alm Merlot Box,Spain,Almaden,"Merlot, Red Wine",,12.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,1999.0
266,Angeline Pinot Noir,United States,Angeline Winery,"Pinot Noir, Red Wine","Berry, Citrus, Oak",13.8%,"Chicken, Turkey",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.6,25,1283.0
267,Angeline Chardonnay,United States,Angeline Winery,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1296.0
268,Angeline Reserve Sauvignon Blanc,United States,Angeline Winery,"Sauvignon Blanc, White Wine","Apple, Balanced, Citrus",13.6%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,1299.0
269,Angeline Reserve Merlot,United States,Angeline Winery,"Merlot, Red Wine",Blueberry,13.9%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Medium,2.5,2,1399.0
270,Luigi Bosca Malbec,Argentina,Luigi Bosca,"Malbec, Red Wine","Pepper, Red Fruit, Smooth, Spicy",14%,"Beef, Cheese - Hard Aged, Cheese - Stinky, Duck  Game Bird, Lamb, Mushrooms, Pork",Standard Red Glass,6,Dry Wine,Full,5.0,2,1999.0
271,Nieto Malbec Reserva,Argentina,Benjamin Nieto Senetiner,"Malbec, Red Wine",,14%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,2,1298.0
272,Ramey Napa Valley Cabernet Sauvignon,United States,Ramey Wine Cellars,"Cabernet Sauvignon, Red Wine",,14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,5999.0
273,Liberty Creek Chardonnay,United States,Liberty Creek,"Chardonnay, White Wine",,12%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,13,849.0
274,Siduri Willamette Valley Pinot Noir,United States,Siduri,"Pinot Noir, Red Wine","Acidic, Berry, Bright, Currant, Fresh, Fruity, Red Fruit, Stone Fruit",13.9%,"Cheese - Creamy  Bloomy, Duck  Game Bird, Fish - Meaty  Oily, Mushrooms, Pork",Burgundy  Bourgogne Glass,5,Dry Wine,Light,2.5,2,2749.0
275,Henri Bourgeois Sancerre Les Baronnes,France,Henri Bourgeois,"Sauvignon Blanc, White Wine",,12%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,3,2599.0
276,Henri Bourgeois Sancerre Bonnes Bouches,France,Henri Bourgeois,"Sauvignon Blanc, White Wine",,12.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,2500.0
277,"McManis Cabernet Sauvignon Red Wine – 750ml, California",United States,McManis,"Cabernet Sauvignon, Red Wine","Berry, Cherry, Dark Fruit, Rich",13.5%,"Beef, Cheese - Blue, Duck  Game Bird, Lamb",Bordeaux Glass,6,Dry Wine,Full,5.0,12,1099.0
278,"McManis Pinot Noir Red Wine – 750ml, Lodi, California",United States,McManis,"Pinot Noir, Red Wine","Berry, Cherry, Creamy",13.5%,"Chicken, Cured Meats, Duck  Game Bird, Fish - Meaty  Oily, Lamb",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,2,1099.0
279,Gato Negro Sauvignon Blanc,United States,Gato Negro,"Sauvignon Blanc, White Wine","Citrus, Herbal, Light, Melon - Honeydew",12.5%,"Cheese - Creamy  Bloomy, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.5,11,599.0
280,Gato Negro Cabernet Sauvignon,Chile,Gato Negro,"Cabernet Sauvignon, Red Wine",,13%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,9,600.0
281,Gato Negro Chardonnay,Chile,Gato Negro,"Chardonnay, White Wine",,12.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,4,599.0
282,Gato Negro Merlot,United States,Gato Negro,"Merlot, Red Wine",,13.3%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,3.7,4,599.0
283,Gato Negro Malbec,United States,Gato Negro,"Malbec, Red Wine","Dark Fruit, Smooth, Rich, Fruity",13%,"Duck  Game Bird, Lamb",Standard Red Glass,6,Dry Wine,Full,5.0,2,649.0
284,Freakshow Cabernet Sauvignon,United States,Michael David,"Cabernet Sauvignon, Red Wine",,14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.8,90,1999.0
285,Layer Cake Bourbon Barrel Aged Cabernet Sauvignon,United States,Layer Cake,"Cabernet Sauvignon, Red Wine",,14.8%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.0,5,1799.0
286,Layer Cake Sauvignon Blanc,United States,Layer Cake,"Sauvignon Blanc, White Wine",,13.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,1299.0
287,Carpineto Dogajolo Toscano Red,Italy,Carpineto,"Red Wine, Sangiovese",,13%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,5.0,10,1399.0
288,Frontera Sauvignon Blanc,Chile,Frontera,"Sauvignon Blanc, White Wine",,12.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,4.7,22,929.0
289,Frontera Malbec,Chile,Frontera,"Malbec, Red Wine","Cherry, Dark Fruit, Spicy, Velvety",13.5%,"Pasta, Beef",Standard Red Glass,6,Dry Wine,Full,5.0,19,600.0
290,Frontera Chardonnay,Chile,Frontera,"Chardonnay, White Wine","Tropical Fruit, Citrus, Apple, Vanilla",13.5%,"Shellfish, Dessert - Fruit",Chardonnay Glass,4,Dry Wine,Full,4.3,15,599.0
291,Frontera Pinot Grigio,Chile,Frontera,"Pinot Grigio, White Wine",,14%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.5,10,599.0
292,Papi Cabernet Sauvignon Demi-Sec,Chile,Papi,"Cabernet Sauvignon, Red Wine",,12%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.8,28,799.0
293,Papi Merlot Demi-Sec,Chile,Papi,"Merlot, Red Wine",,12%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,19,799.0
294,Papi Sauvignon Blanc Demi-Sec,Chile,Papi,"Sauvignon Blanc, White Wine",,13.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,4.5,10,799.0
295,Columbia Crest H3 Cabernet Sauvignon,United States,Columbia Crest,"Cabernet Sauvignon, Red Wine","Berry, Cherry, Minerality, Vanilla",14.5%,"Beef, Cheese - Hard Aged, Duck  Game Bird, Lamb, Pasta",Bordeaux Glass,6,Dry Wine,Full,5.0,12,1408.0
296,Columbia Crest Grand Estates Merlot,United States,Columbia Crest,"Merlot, Red Wine","Cherry, Chocolate, Fruity",13.5%,"Beef, Cheese - Blue, Dessert - Chocolate  Coffee, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,1099.0
297,Columbia Crest Grand Estates Cabernet Sauvignon,United States,Columbia Crest,"Cabernet Sauvignon, Red Wine",,13.5%,"Duck  Game Bird, Beef, Dessert - Chocolate  Coffee, Cheese - Blue",Bordeaux Glass,6,Dry Wine,Full,5.0,3,1099.0
298,Cakebread Cellars Napa Valley Chardonnay,United States,Cakebread Cellars,"Chardonnay, White Wine","Apple, Butter, Citrus, Oak",13.9%,"Shellfish, Chicken",Chardonnay Glass,4,Dry Wine,Full,5.0,11,4631.0
299,Cakebread Cellars Sauvignon Blanc,United States,Cakebread Cellars,"Sauvignon Blanc, White Wine",,13.9%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,10,3298.0
300,Livingston Pinot Grigio,United States,Livingston Cellars,"Pinot Grigio, White Wine",,11.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.0,5,799.0
301,Livingston Cabernet Sauvignon,United States,Livingston Cellars,"Cabernet Sauvignon, Red Wine",,12%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,1399.0
302,Livingston Chardonnay,United States,Livingston Cellars,"Chardonnay, White Wine",,11.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,2.5,2,1399.0
303,J Vineyards & Winery Pinot Gris,United States,J Vineyards,"Pinot Grigio, White Wine","Citrus, Pear, Apple, Tropical",13.8%,"Cheese - Fresh  Soft, Chicken",Standard White Glass,3,Dry Wine,Light,5.0,25,1679.0
304,J Vineyards & Winery California Chardonnay,United States,J Vineyards,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,2199.0
305,Ridge Three Valleys,United States,Ridge Vineyards,"Red Wine, Zinfandel","Berry, Minerality, Oak, Dried Fruit",14.5%,"Beef, Chicken",Standard Red Glass,6,Dry Wine,Medium,5.0,5,2999.0
306,Ridge Ponzo Zinfandel,United States,Ridge Vineyards,"Red Wine, Zinfandel","Cherry, Floral, Fresh, Guava, Pepper, Red Fruit",14.6%,"Beef, Pasta",Standard Red Glass,6,Dry Wine,Medium,2.5,2,3399.0
307,Four Vines Naked Chardonnay,United States,Four Vines,"Chardonnay, White Wine","Bright, Green Apple, Peach, Guava",13.9%,"Shellfish, Chicken",Chardonnay Glass,4,Dry Wine,Full,5.0,2,1199.0
308,G.D. Vajra Langhe Nebbiolo,Italy,G.D. Vajra,"Nebbiolo, Red Wine",,14.5%,"Beef, Mushrooms",Burgundy  Bourgogne Glass,6,Dry Wine,Medium,5.0,2,2499.0
309,G.D. Vajra Langhe Rosso,Italy,G.D. Vajra,"Nebbiolo, Red Wine",,14%,"Beef, Mushrooms",Burgundy  Bourgogne Glass,6,Dry Wine,Medium,5.0,2,1699.0
310,The Infinite Monkey Theorem Malbec,United States,The Infinite Monkey Theorem,"Malbec, Red Wine",,13.6%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,5,2179.0
311,Decoy California Cabernet Sauvignon,United States,Decoy Wines,"Cabernet Sauvignon, Red Wine","Balanced, Berry, Red Fruit",13.9%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.8,305,2199.0
312,Decoy California Pinot Noir,United States,Decoy Wines,"Pinot Noir, Red Wine","Silky, Herbal, Berry, Bright",13.9%,"Chicken, Duck  Game Bird, Pasta, Pork, Salads  Greens",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.9,74,2171.0
313,Decoy Sonoma County Sauvignon Blanc,United States,Decoy Wines,"Sauvignon Blanc, White Wine","Grapefruit, Stone Fruit, Melon - Honeydew, Acidic",13.9%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.6,38,1799.0
314,Decoy Sonoma County Chardonnay,United States,Decoy Wines,"Chardonnay, White Wine",,14.1%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,4.8,28,1799.0
315,Decoy Sonoma County Merlot,United States,Decoy Wines,"Merlot, Red Wine","Sweet, Spicy, Cherry, Chocolate",14.1%,"Lamb, Beef",Bordeaux Glass,6,Dry Wine,Medium,5.0,19,2171.0
316,Decoy Limited Napa Valley Cabernet Sauvignon,United States,Decoy Wines,"Cabernet Sauvignon, Red Wine","Balanced, Cassis, Dark Fruit",14.5%,"Beef, Cheese - Hard Aged, Cured Meats, Mushrooms",Bordeaux Glass,8,Dry Wine,Full,5.0,6,2894.0
317,Frank Family Vineyards Carneros Chardonnay,United States,Frank Family,"Chardonnay, White Wine","Apple, Creamy, Crisp, Melon, Minerality, Smooth, Tropical",14.5%,"Cheese - Fresh  Soft, Chicken, Fish - Meaty  Oily, Fish - White, Pasta, Salads  Greens, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,8,3299.0
318,Frank Family Vineyards Napa Valley Cabernet Sauvignon,United States,Frank Family,"Cabernet Sauvignon, Red Wine","Balanced, Cassis, Dark Fruit, Fresh, Minerality",14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,7,5199.0
319,Salentein Reserve Malbec,Argentina,Salentein,"Malbec, Red Wine",,14.5%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,6,1999.0
320,Carlo Rossi Merlot,United States,Carlo Rossi,"Merlot, Red Wine",,12%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,10,1699.0
321,Carlo Rossi Chablis,United States,Carlo Rossi,"Chardonnay, White Wine","Crisp, Pear, Light, Apple",11%,"Salads  Greens, Fish - White",Chardonnay Glass,4,Dry Wine,Full,5.0,10,899.0
322,Carlo Rossi Chardonnay,United States,Carlo Rossi,"Chardonnay, White Wine",,11.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,8,1699.0
323,Carlo Rossi Cabernet Sauvignon,United States,Carlo Rossi,"Cabernet Sauvignon, Red Wine",,12%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,7,1699.0
324,Sterling Vintner’s Collection Cabernet Sauvignon,United States,Sterling,"Cabernet Sauvignon, Red Wine","Cherry, Coffee, Dark Fruit, Pepper",13.5%,"Beef, Lamb",Bordeaux Glass,6,Dry Wine,Full,5.0,23,1199.0
325,Sterling Vintner’s Collection Chardonnay,United States,Sterling,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,8,1099.0
326,Sterling Napa Valley Cabernet Sauvignon,United States,Sterling,"Cabernet Sauvignon, Red Wine",,14.7%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.3,8,2699.0
327,Sterling Vintner’s Collection Pinot Noir,United States,Sterling,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Light,5.0,7,1199.0
328,Sterling Vintner’s Collection Merlot,United States,Sterling,"Merlot, Red Wine",,13.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,4,1199.0
329,Sonoma-Cutrer Sonoma Coast Chardonnay White Wine,United States,Sonoma-Cutrer Winery,"Chardonnay, White Wine","Peach, Apple, Caramel",13.9%,"Chicken, Salads  Greens",Chardonnay Glass,4,Dry Wine,Full,4.8,47,2499.0
330,Orin Swift Palermo Cabernet Sauvignon,United States,Orin Swift Cellars,"Cabernet Sauvignon, Red Wine",,15.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,5,4999.0
331,Gnarly Head Cabernet Sauvignon,United States,Gnarly Head,"Cabernet Sauvignon, Red Wine","Dark Fruit, Currant, Spicy, Earthy",14.5%,"Lamb, Pasta",Bordeaux Glass,6,Dry Wine,Full,5.0,12,1049.0
332,Gnarly Head Chardonnay,United States,Gnarly Head,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,4,999.0
333,Gnarly Head Pinot Grigio,United States,Gnarly Head,"Pinot Grigio, White Wine",,13%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,999.0
334,The Federalist Lodi Cabernet Sauvignon,United States,The Federalist,"Cabernet Sauvignon, Red Wine","Bold, Cherry, Currant, Jammy, Red Fruit, Smooth, Vanilla",13.7%,"Beef, Cheese - Blue, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,10,1699.0
335,The Federalist Lodi Zinfandel,United States,The Federalist,"Red Wine, Zinfandel","Bold, Fruity, Jammy, Red Fruit, Rich, Spicy",14.8%,"Cheese - Nutty  Semi-Firm, Duck  Game Bird, Pork, Turkey",Standard Red Glass,6,Dry Wine,Medium,4.0,5,1699.0
336,The Federalist Bourbon Barrel Aged Zinfandel,United States,The Federalist,"Red Wine, Zinfandel","Bold, Caramel, Oak, Pepper, Red Fruit, Spicy, Vanilla",15%,"Beef, Dessert - Vanilla  Caramel, Lamb, Mushrooms, Pork",Standard Red Glass,6,Dry Wine,Medium,5.0,2,1999.0
337,Bonterra Organic Cabernet Sauvignon,United States,Bonterra,"Cabernet Sauvignon, Red Wine","Cherry, Currant, Oak, Vanilla",14%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.8,36,1400.0
338,Bonterra Organic Sauvignon Blanc,United States,Bonterra,"Sauvignon Blanc, White Wine","Citrus, Grapefruit, Grassy, Crisp",13%,"Shellfish, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,26,1399.0
339,Bonterra Organic Chardonnay,United States,Bonterra,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,21,1299.0
340,Bonterra Organic Merlot,United States,Bonterra,"Merlot, Red Wine",,13.6%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,9,1429.0
341,Murphy-Goode California Cabernet Sauvignon,United States,Murphy-Goode,"Cabernet Sauvignon, Red Wine","Anise, Berry, Chocolate, Dark Fruit, Dry, Toasty, Vanilla",13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,6,1383.0
342,Murphy-Goode North Coast Sauvignon Blanc,United States,Murphy-Goode,"Sauvignon Blanc, White Wine","Citrus, Melon, Peach, Pear, Tropical Fruit",13.5%,"Cheese - Fresh  Soft, Chicken, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,6,1273.0
343,Murphy-Goode California Pinot Noir,United States,Murphy-Goode,"Pinot Noir, Red Wine","Cherry, Dark Fruit, Dry, Vanilla, Velvety",13.5%,"Duck  Game Bird, Fish - Meaty  Oily, Pork",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.1,6,1299.0
344,Murphy-Goode California Merlot,United States,Murphy-Goode,"Merlot, Red Wine","Blueberry, Bold, Cherry, Dark Fruit, Dry, Toasty, Vanilla",13.5%,"Beef, Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,1399.0
345,Tisdale Cabernet Sauvginon,United States,Tisdale Vineyards,"Cabernet Sauvignon, Red Wine",,12%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,10,499.0
346,Tisdale Chardonnay,United States,Tisdale Vineyards,"Chardonnay, White Wine",,12%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,4,499.0
347,Parducci Small Lot Pinot Noir,United States,Parducci,"Pinot Noir, Red Wine","Blueberry, Bright, Cherry, Chocolate, Red Fruit",14.5%,"Cheese - Creamy  Bloomy, Chicken, Cured Meats, Duck  Game Bird, Fish - Meaty  Oily, Pasta, Pork",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,6,1299.0
348,Cecchi Chianti Classico,Italy,Cecchi,"Chianti Blend, Red Wine","Balanced, Berry, Bright, Spicy, Vanilla",13%,"Cheese - Hard Aged, Chicken, Cured Meats, Duck  Game Bird, Pasta",Standard Red Glass,6,Semi-Sweet  Off-Dry,Medium,5.0,3,1699.0
349,Cecchi Bonizio Rosso,Italy,Cecchi,"Red Wine, Sangiovese","Acidic, Bold, Red Fruit, Rich, Round, Spicy",13%,"Beef, Cheese - Hard Aged, Cured Meats, Pork",Standard Red Glass,6,Dry Wine,Medium,5.0,2,1099.0
350,Terrazas de los Andes Reserva Malbec,Argentina,Terrazas de los Andes,"Malbec, Red Wine","Fresh, Fruity, Silky",15%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,27,1999.0
351,Terrazas de los Andes Altos de Plata Malbec,Argentina,Terrazas de los Andes,"Malbec, Red Wine","Bold, Fresh, Fruity, Rich, Silky",14.5%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,12,1099.0
352,Corbett Canyon Chardonnay,United States,Corbett Canyon,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,899.0
